business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000011,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100022,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000012,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100023,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000012,1777889100.0,1777892400.0,1777890000.0,1777893300.0,6.2,6.4,100024,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000013,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100025,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000013,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100026,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000014,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100027,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000014,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100028,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000015,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100029,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000015,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100030,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000016,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100031,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000016,1777889100.0,1777892400.0,1777890000.0,1777893300.0,6.2,6.4,100032,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000017,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100033,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000017,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100034,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000018,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100035,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000018,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100036,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000019,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100037,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000019,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100038,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000020,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100039,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000020,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100040,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000021,1777951800.0,1777955400.0,1777952700.0,1777956300.0,6.2,6.4,100041,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000021,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100042,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000022,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100043,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000022,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100044,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000023,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100045,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000023,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100046,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000024,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100047,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000024,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100048,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000025,1777951800.0,1777955400.0,1777952700.0,1777956300.0,6.2,6.4,100049,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000025,1777952100.0,1777955400.0,1777953000.0,1777956300.0,6.2,6.4,100050,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000026,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100051,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000026,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100052,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000027,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100053,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000027,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100054,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000028,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100055,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000028,1777975500.0,1777978800.0,,,6.2,6.4,100056,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000029,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100057,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000029,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100058,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000030,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100059,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000030,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100060,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000031,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100061,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000031,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100062,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000032,1777975200.0,1777978800.0,1777976100.0,1777979700.0,6.2,6.4,100063,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000032,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100064,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000033,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100065,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000033,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100066,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000034,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100067,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000034,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100068,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000035,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100069,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000035,1777975500.0,1777978800.0,1777976400.0,1777979700.0,6.2,6.4,100070,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000036,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100071,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000036,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100072,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000037,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100073,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,09:00,3000037,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100074,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000038,1777951800.0,1777955400.0,1777951920.0,1777955520.0,6.2,6.4,100075,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,09:00,3000038,1777952100.0,1777955400.0,1777952220.0,1777955520.0,6.2,6.4,100076,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000039,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100077,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-05,15:30,3000039,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100078,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000040,1777975200.0,1777978800.0,1777975320.0,1777978920.0,6.2,6.4,100079,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-05,15:30,3000040,1777975500.0,1777978800.0,1777975620.0,1777978920.0,6.2,6.4,100080,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000041,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100081,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000041,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100082,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000042,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100083,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000042,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100084,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000043,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100085,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000043,1778061900.0,1778065200.0,1778062800.0,1778066100.0,6.2,6.4,100086,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000044,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100087,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000044,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100088,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000045,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100089,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000045,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100090,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000046,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100091,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000046,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100092,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000047,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100093,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000047,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100094,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000048,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100095,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000048,1778061900.0,1778065200.0,,,6.2,6.4,100096,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000049,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100097,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000049,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100098,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000050,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100099,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000050,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100100,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000051,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100101,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000051,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100102,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000052,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100103,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000052,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100104,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000053,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100105,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000053,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100106,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000054,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100107,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000054,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100108,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000055,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100109,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000055,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100110,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000056,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100111,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000056,1778061900.0,1778065200.0,1778062800.0,1778066100.0,6.2,6.4,100112,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000057,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100113,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,09:00,3000057,1778038500.0,1778041800.0,1778039400.0,1778042700.0,6.2,6.4,100114,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000058,1778038200.0,1778041800.0,1778038320.0,1778041920.0,6.2,6.4,100115,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,09:00,3000058,1778038500.0,1778041800.0,1778038620.0,1778041920.0,6.2,6.4,100116,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000059,1778061600.0,1778065200.0,1778062500.0,1778066100.0,6.2,6.4,100117,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-06,15:30,3000059,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100118,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000060,1778061600.0,1778065200.0,1778061720.0,1778065320.0,6.2,6.4,100119,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-06,15:30,3000060,1778061900.0,1778065200.0,1778062020.0,1778065320.0,6.2,6.4,100120,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000061,1778124600.0,1778128200.0,1778124720.0,1778128320.0,6.2,6.4,100121,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000061,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100122,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000062,1778124600.0,1778128200.0,1778125500.0,1778129100.0,6.2,6.4,100123,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000062,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100124,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000063,1778148000.0,1778151600.0,1778148120.0,1778151720.0,6.2,6.4,100125,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000063,1778148300.0,1778151600.0,1778149200.0,1778152500.0,6.2,6.4,100126,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,15:30,3000064,1778148000.0,1778151600.0,1778148120.0,1778151720.0,6.2,6.4,100127,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,15:30,3000064,1778148300.0,1778151600.0,1778148420.0,1778151720.0,6.2,6.4,100128,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000065,1778124600.0,1778128200.0,1778124720.0,1778128320.0,6.2,6.4,100129,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000065,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100130,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000066,1778124600.0,1778128200.0,1778124720.0,1778128320.0,6.2,6.4,100131,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000066,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100132,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000067,1778148000.0,1778151600.0,1778148120.0,1778151720.0,6.2,6.4,100133,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000067,1778148300.0,1778151600.0,1778148420.0,1778151720.0,6.2,6.4,100134,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,15:30,3000068,1778148000.0,1778151600.0,1778148120.0,1778151720.0,6.2,6.4,100135,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,15:30,3000068,1778148300.0,1778151600.0,,,6.2,6.4,100136,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000069,1778124600.0,1778128200.0,1778124720.0,1778128320.0,6.2,6.4,100137,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,09:00,3000069,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100138,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000070,1778124600.0,1778128200.0,1778124720.0,1778128320.0,6.2,6.4,100139,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-07,09:00,3000070,1778124900.0,1778128200.0,1778125020.0,1778128320.0,6.2,6.4,100140,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000071,1778148000.0,1778151600.0,1778148120.0,1778151720.0,6.2,6.4,100141,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-07,15:30,3000071,1778148300.0,1778151600.0,1778148420.0,1778151720.0,6.2,6.4,100142,Planned,FEMALE,employee,Boarded,,False
