tenant_id,driver_id,vendor_id,driver_token,training_status,background_check_status
TNT_001,DRV_0026,VND_001_02,driver_token_0026,CURRENT,CLEAR
TNT_001,DRV_0027,VND_001_03,driver_token_0027,CURRENT,CLEAR
TNT_001,DRV_0028,VND_001_04,driver_token_0028,CURRENT,CLEAR
TNT_002,DRV_0029,VND_002_01,driver_token_0029,CURRENT,CLEAR
TNT_002,DRV_0030,VND_002_02,driver_token_0030,CURRENT,CLEAR
TNT_002,DRV_0031,VND_002_03,driver_token_0031,CURRENT,CLEAR
TNT_002,DRV_0032,VND_002_04,driver_token_0032,CURRENT,CLEAR
TNT_003,DRV_0033,VND_003_01,driver_token_0033,CURRENT,CLEAR
TNT_003,DRV_0034,VND_003_02,driver_token_0034,CURRENT,CLEAR
TNT_003,DRV_0035,VND_003_03,driver_token_0035,CURRENT,CLEAR
TNT_003,DRV_0036,VND_003_04,driver_token_0036,CURRENT,CLEAR
TNT_001,DRV_0037,VND_001_01,driver_token_0037,CURRENT,CLEAR
TNT_001,DRV_0038,VND_001_02,driver_token_0038,CURRENT,CLEAR
TNT_001,DRV_0039,VND_001_03,driver_token_0039,CURRENT,CLEAR
TNT_001,DRV_0040,VND_001_04,driver_token_0040,CURRENT,CLEAR
TNT_002,DRV_0041,VND_002_01,driver_token_0041,CURRENT,CLEAR
TNT_002,DRV_0042,VND_002_02,driver_token_0042,CURRENT,CLEAR
TNT_002,DRV_0043,VND_002_03,driver_token_0043,CURRENT,CLEAR
TNT_002,DRV_0044,VND_002_04,driver_token_0044,CURRENT,CLEAR
TNT_003,DRV_0045,VND_003_01,driver_token_0045,CURRENT,CLEAR
TNT_003,DRV_0046,VND_003_02,driver_token_0046,CURRENT,CLEAR
TNT_003,DRV_0047,VND_003_03,driver_token_0047,CURRENT,CLEAR
TNT_003,DRV_0048,VND_003_04,driver_token_0048,CURRENT,CLEAR
TNT_001,DRV_0049,VND_001_01,driver_token_0049,CURRENT,CLEAR
TNT_001,DRV_0050,VND_001_02,driver_token_0050,CURRENT,CLEAR
TNT_001,DRV_0051,VND_001_03,driver_token_0051,EXPIRED,CLEAR
TNT_001,DRV_0052,VND_001_04,driver_token_0052,CURRENT,CLEAR
TNT_002,DRV_0053,VND_002_01,driver_token_0053,CURRENT,CLEAR
TNT_002,DRV_0054,VND_002_02,driver_token_0054,CURRENT,CLEAR
TNT_002,DRV_0055,VND_002_03,driver_token_0055,CURRENT,CLEAR
TNT_002,DRV_0056,VND_002_04,driver_token_0056,CURRENT,CLEAR
TNT_003,DRV_0057,VND_003_01,driver_token_0057,CURRENT,CLEAR
TNT_003,DRV_0058,VND_003_02,driver_token_0058,CURRENT,CLEAR
TNT_003,DRV_0059,VND_003_03,driver_token_0059,CURRENT,CLEAR
TNT_003,DRV_0060,VND_003_04,driver_token_0060,CURRENT,CLEAR
TNT_001,DRV_0061,VND_001_01,driver_token_0061,CURRENT,CLEAR
TNT_001,DRV_0062,VND_001_02,driver_token_0062,EXPIRED,CLEAR
TNT_001,DRV_0063,VND_001_03,driver_token_0063,CURRENT,CLEAR
TNT_001,DRV_0064,VND_001_04,driver_token_0064,CURRENT,CLEAR
TNT_002,DRV_0065,VND_002_01,driver_token_0065,CURRENT,CLEAR
TNT_002,DRV_0066,VND_002_02,driver_token_0066,CURRENT,CLEAR
TNT_002,DRV_0067,VND_002_03,driver_token_0067,CURRENT,CLEAR
TNT_002,DRV_0068,VND_002_04,driver_token_0068,CURRENT,CLEAR
TNT_003,DRV_0069,VND_003_01,driver_token_0069,CURRENT,CLEAR
TNT_003,DRV_0070,VND_003_02,driver_token_0070,CURRENT,CLEAR
TNT_003,DRV_0071,VND_003_03,driver_token_0071,CURRENT,CLEAR
TNT_003,DRV_0072,VND_003_04,driver_token_0072,CURRENT,CLEAR
TNT_001,DRV_0073,VND_001_01,driver_token_0073,CURRENT,CLEAR
TNT_001,DRV_0074,VND_001_02,driver_token_0074,CURRENT,CLEAR
TNT_001,DRV_0075,VND_001_03,driver_token_0075,CURRENT,CLEAR
TNT_001,DRV_0076,VND_001_04,driver_token_0076,CURRENT,CLEAR
TNT_002,DRV_0077,VND_002_01,driver_token_0077,CURRENT,CLEAR
TNT_002,DRV_0078,VND_002_02,driver_token_0078,CURRENT,CLEAR
TNT_002,DRV_0079,VND_002_03,driver_token_0079,CURRENT,CLEAR
TNT_002,DRV_0080,VND_002_04,driver_token_0080,CURRENT,CLEAR
TNT_003,DRV_0081,VND_003_01,driver_token_0081,CURRENT,CLEAR
TNT_003,DRV_0082,VND_003_02,driver_token_0082,CURRENT,CLEAR
TNT_003,DRV_0083,VND_003_03,driver_token_0083,CURRENT,CLEAR
TNT_003,DRV_0084,VND_003_04,driver_token_0084,CURRENT,CLEAR
TNT_001,DRV_0085,VND_001_01,driver_token_0085,CURRENT,CLEAR
TNT_001,DRV_0086,VND_001_02,driver_token_0086,CURRENT,CLEAR
TNT_001,DRV_0087,VND_001_03,driver_token_0087,CURRENT,CLEAR
TNT_001,DRV_0088,VND_001_04,driver_token_0088,CURRENT,CLEAR
TNT_002,DRV_0089,VND_002_01,driver_token_0089,CURRENT,CLEAR
TNT_002,DRV_0090,VND_002_02,driver_token_0090,CURRENT,CLEAR
TNT_002,DRV_0091,VND_002_03,driver_token_0091,CURRENT,CLEAR
TNT_002,DRV_0092,VND_002_04,driver_token_0092,CURRENT,CLEAR
TNT_003,DRV_0093,VND_003_01,driver_token_0093,CURRENT,CLEAR
TNT_003,DRV_0094,VND_003_02,driver_token_0094,CURRENT,CLEAR
TNT_003,DRV_0095,VND_003_03,driver_token_0095,CURRENT,CLEAR
TNT_003,DRV_0096,VND_003_04,driver_token_0096,CURRENT,CLEAR
TNT_001,DRV_0097,VND_001_01,driver_token_0097,CURRENT,CLEAR
TNT_001,DRV_0098,VND_001_02,driver_token_0098,CURRENT,CLEAR
TNT_001,DRV_0099,VND_001_03,driver_token_0099,CURRENT,CLEAR
TNT_001,DRV_0100,VND_001_04,driver_token_0100,CURRENT,CLEAR
TNT_002,DRV_0101,VND_002_01,driver_token_0101,CURRENT,CLEAR
TNT_002,DRV_0102,VND_002_02,driver_token_0102,CURRENT,CLEAR
TNT_002,DRV_0103,VND_002_03,driver_token_0103,CURRENT,CLEAR
TNT_002,DRV_0104,VND_002_04,driver_token_0104,CURRENT,CLEAR
TNT_003,DRV_0105,VND_003_01,driver_token_0105,CURRENT,CLEAR
TNT_003,DRV_0106,VND_003_02,driver_token_0106,CURRENT,CLEAR
TNT_003,DRV_0107,VND_003_03,driver_token_0107,CURRENT,CLEAR
TNT_003,DRV_0108,VND_003_04,driver_token_0108,CURRENT,CLEAR
TNT_001,DRV_0109,VND_001_01,driver_token_0109,CURRENT,CLEAR
TNT_001,DRV_0110,VND_001_02,driver_token_0110,CURRENT,CLEAR
TNT_001,DRV_0111,VND_001_03,driver_token_0111,CURRENT,CLEAR
TNT_001,DRV_0112,VND_001_04,driver_token_0112,EXPIRED,CLEAR
TNT_002,DRV_0113,VND_002_01,driver_token_0113,CURRENT,CLEAR
TNT_002,DRV_0114,VND_002_02,driver_token_0114,CURRENT,CLEAR
TNT_002,DRV_0115,VND_002_03,driver_token_0115,CURRENT,CLEAR
TNT_002,DRV_0116,VND_002_04,driver_token_0116,EXPIRED,CLEAR
TNT_003,DRV_0117,VND_003_01,driver_token_0117,EXPIRED,CLEAR
TNT_003,DRV_0118,VND_003_02,driver_token_0118,CURRENT,CLEAR
TNT_003,DRV_0119,VND_003_03,driver_token_0119,CURRENT,CLEAR
TNT_003,DRV_0120,VND_003_04,driver_token_0120,CURRENT,CLEAR
TNT_001,DRV_0121,VND_001_01,driver_token_0121,CURRENT,CLEAR
TNT_001,DRV_0122,VND_001_02,driver_token_0122,CURRENT,CLEAR
TNT_001,DRV_0123,VND_001_03,driver_token_0123,CURRENT,CLEAR
TNT_001,DRV_0124,VND_001_04,driver_token_0124,CURRENT,CLEAR
TNT_002,DRV_0125,VND_002_01,driver_token_0125,CURRENT,CLEAR
TNT_002,DRV_0126,VND_002_02,driver_token_0126,CURRENT,CLEAR
TNT_002,DRV_0127,VND_002_03,driver_token_0127,CURRENT,CLEAR
TNT_002,DRV_0128,VND_002_04,driver_token_0128,CURRENT,CLEAR
TNT_003,DRV_0129,VND_003_01,driver_token_0129,CURRENT,CLEAR
TNT_003,DRV_0130,VND_003_02,driver_token_0130,CURRENT,CLEAR
TNT_003,DRV_0131,VND_003_03,driver_token_0131,CURRENT,CLEAR
TNT_003,DRV_0132,VND_003_04,driver_token_0132,CURRENT,CLEAR
TNT_001,DRV_0133,VND_001_01,driver_token_0133,CURRENT,CLEAR
TNT_001,DRV_0134,VND_001_02,driver_token_0134,CURRENT,CLEAR
TNT_001,DRV_0135,VND_001_03,driver_token_0135,CURRENT,CLEAR
TNT_001,DRV_0136,VND_001_04,driver_token_0136,CURRENT,CLEAR
TNT_002,DRV_0137,VND_002_01,driver_token_0137,CURRENT,CLEAR
TNT_002,DRV_0138,VND_002_02,driver_token_0138,CURRENT,CLEAR
TNT_002,DRV_0139,VND_002_03,driver_token_0139,CURRENT,CLEAR
TNT_002,DRV_0140,VND_002_04,driver_token_0140,CURRENT,CLEAR
TNT_003,DRV_0141,VND_003_01,driver_token_0141,CURRENT,CLEAR
TNT_003,DRV_0142,VND_003_02,driver_token_0142,CURRENT,CLEAR
TNT_003,DRV_0143,VND_003_03,driver_token_0143,CURRENT,CLEAR
TNT_003,DRV_0144,VND_003_04,driver_token_0144,CURRENT,CLEAR
TNT_001,DRV_0145,VND_001_01,driver_token_0145,CURRENT,CLEAR
TNT_001,DRV_0146,VND_001_02,driver_token_0146,CURRENT,CLEAR
TNT_001,DRV_0147,VND_001_03,driver_token_0147,CURRENT,CLEAR
TNT_001,DRV_0148,VND_001_04,driver_token_0148,CURRENT,CLEAR
TNT_002,DRV_0149,VND_002_01,driver_token_0149,CURRENT,CLEAR
TNT_002,DRV_0150,VND_002_02,driver_token_0150,CURRENT,CLEAR
TNT_002,DRV_0151,VND_002_03,driver_token_0151,CURRENT,CLEAR
TNT_002,DRV_0152,VND_002_04,driver_token_0152,CURRENT,CLEAR
TNT_003,DRV_0153,VND_003_01,driver_token_0153,CURRENT,CLEAR
TNT_003,DRV_0154,VND_003_02,driver_token_0154,CURRENT,CLEAR
TNT_003,DRV_0155,VND_003_03,driver_token_0155,CURRENT,CLEAR
TNT_003,DRV_0156,VND_003_04,driver_token_0156,CURRENT,CLEAR
TNT_001,DRV_0157,VND_001_01,driver_token_0157,CURRENT,CLEAR
TNT_001,DRV_0158,VND_001_02,driver_token_0158,CURRENT,CLEAR
TNT_001,DRV_0159,VND_001_03,driver_token_0159,CURRENT,CLEAR
TNT_001,DRV_0160,VND_001_04,driver_token_0160,CURRENT,CLEAR
TNT_002,DRV_0161,VND_002_01,driver_token_0161,CURRENT,CLEAR
TNT_002,DRV_0162,VND_002_02,driver_token_0162,CURRENT,CLEAR
TNT_002,DRV_0163,VND_002_03,driver_token_0163,CURRENT,CLEAR
TNT_002,DRV_0164,VND_002_04,driver_token_0164,CURRENT,CLEAR
TNT_003,DRV_0165,VND_003_01,driver_token_0165,CURRENT,CLEAR
TNT_003,DRV_0166,VND_003_02,driver_token_0166,CURRENT,CLEAR
TNT_003,DRV_0167,VND_003_03,driver_token_0167,CURRENT,CLEAR
TNT_003,DRV_0168,VND_003_04,driver_token_0168,CURRENT,CLEAR
TNT_001,DRV_0169,VND_001_01,driver_token_0169,CURRENT,CLEAR
TNT_001,DRV_0170,VND_001_02,driver_token_0170,CURRENT,CLEAR
TNT_001,DRV_0171,VND_001_03,driver_token_0171,CURRENT,CLEAR
TNT_001,DRV_0172,VND_001_04,driver_token_0172,CURRENT,CLEAR
TNT_002,DRV_0173,VND_002_01,driver_token_0173,CURRENT,CLEAR
TNT_002,DRV_0174,VND_002_02,driver_token_0174,CURRENT,CLEAR
TNT_002,DRV_0175,VND_002_03,driver_token_0175,CURRENT,CLEAR
TNT_002,DRV_0176,VND_002_04,driver_token_0176,CURRENT,CLEAR
TNT_003,DRV_0177,VND_003_01,driver_token_0177,CURRENT,CLEAR
TNT_003,DRV_0178,VND_003_02,driver_token_0178,CURRENT,CLEAR
TNT_003,DRV_0179,VND_003_03,driver_token_0179,CURRENT,CLEAR
TNT_003,DRV_0180,VND_003_04,driver_token_0180,CURRENT,CLEAR
TNT_001,DRV_0181,VND_001_01,driver_token_0181,CURRENT,CLEAR
TNT_001,DRV_0182,VND_001_02,driver_token_0182,CURRENT,CLEAR
TNT_001,DRV_0183,VND_001_03,driver_token_0183,CURRENT,REVIEW_REQUIRED
TNT_001,DRV_0184,VND_001_04,driver_token_0184,CURRENT,CLEAR
TNT_002,DRV_0185,VND_002_01,driver_token_0185,CURRENT,CLEAR
TNT_002,DRV_0186,VND_002_02,driver_token_0186,CURRENT,CLEAR
TNT_002,DRV_0187,VND_002_03,driver_token_0187,CURRENT,CLEAR
TNT_002,DRV_0188,VND_002_04,driver_token_0188,CURRENT,CLEAR
TNT_003,DRV_0189,VND_003_01,driver_token_0189,CURRENT,CLEAR
TNT_003,DRV_0190,VND_003_02,driver_token_0190,CURRENT,CLEAR
TNT_003,DRV_0191,VND_003_03,driver_token_0191,CURRENT,CLEAR
TNT_003,DRV_0192,VND_003_04,driver_token_0192,EXPIRED,CLEAR
TNT_001,DRV_0193,VND_001_01,driver_token_0193,CURRENT,CLEAR
TNT_001,DRV_0194,VND_001_02,driver_token_0194,CURRENT,CLEAR
TNT_001,DRV_0195,VND_001_03,driver_token_0195,CURRENT,CLEAR
TNT_001,DRV_0196,VND_001_04,driver_token_0196,CURRENT,CLEAR
TNT_002,DRV_0197,VND_002_01,driver_token_0197,CURRENT,CLEAR
TNT_002,DRV_0198,VND_002_02,driver_token_0198,CURRENT,CLEAR
TNT_002,DRV_0199,VND_002_03,driver_token_0199,CURRENT,CLEAR
TNT_002,DRV_0200,VND_002_04,driver_token_0200,CURRENT,CLEAR
TNT_003,DRV_0201,VND_003_01,driver_token_0201,CURRENT,CLEAR
TNT_003,DRV_0202,VND_003_02,driver_token_0202,CURRENT,CLEAR
TNT_003,DRV_0203,VND_003_03,driver_token_0203,CURRENT,CLEAR
TNT_003,DRV_0204,VND_003_04,driver_token_0204,CURRENT,CLEAR
TNT_001,DRV_0205,VND_001_01,driver_token_0205,CURRENT,CLEAR
TNT_001,DRV_0206,VND_001_02,driver_token_0206,CURRENT,CLEAR
TNT_001,DRV_0207,VND_001_03,driver_token_0207,CURRENT,CLEAR
TNT_001,DRV_0208,VND_001_04,driver_token_0208,CURRENT,CLEAR
TNT_002,DRV_0209,VND_002_01,driver_token_0209,CURRENT,CLEAR
TNT_002,DRV_0210,VND_002_02,driver_token_0210,CURRENT,CLEAR
TNT_002,DRV_0211,VND_002_03,driver_token_0211,CURRENT,CLEAR
TNT_002,DRV_0212,VND_002_04,driver_token_0212,CURRENT,CLEAR
TNT_003,DRV_0213,VND_003_01,driver_token_0213,CURRENT,CLEAR
TNT_003,DRV_0214,VND_003_02,driver_token_0214,CURRENT,CLEAR
TNT_003,DRV_0215,VND_003_03,driver_token_0215,CURRENT,CLEAR
TNT_003,DRV_0216,VND_003_04,driver_token_0216,CURRENT,CLEAR
TNT_001,DRV_0217,VND_001_01,driver_token_0217,CURRENT,CLEAR
TNT_001,DRV_0218,VND_001_02,driver_token_0218,CURRENT,CLEAR
TNT_001,DRV_0219,VND_001_03,driver_token_0219,CURRENT,CLEAR
TNT_001,DRV_0220,VND_001_04,driver_token_0220,CURRENT,CLEAR
TNT_002,DRV_0221,VND_002_01,driver_token_0221,CURRENT,CLEAR
TNT_002,DRV_0222,VND_002_02,driver_token_0222,CURRENT,CLEAR
TNT_002,DRV_0223,VND_002_03,driver_token_0223,CURRENT,CLEAR
TNT_002,DRV_0224,VND_002_04,driver_token_0224,CURRENT,CLEAR
TNT_003,DRV_0225,VND_003_01,driver_token_0225,CURRENT,CLEAR
TNT_003,DRV_0226,VND_003_02,driver_token_0226,CURRENT,CLEAR
TNT_003,DRV_0227,VND_003_03,driver_token_0227,CURRENT,CLEAR
TNT_003,DRV_0228,VND_003_04,driver_token_0228,CURRENT,CLEAR
TNT_001,DRV_0229,VND_001_01,driver_token_0229,CURRENT,CLEAR
TNT_001,DRV_0230,VND_001_02,driver_token_0230,CURRENT,CLEAR
TNT_001,DRV_0231,VND_001_03,driver_token_0231,CURRENT,CLEAR
TNT_001,DRV_0232,VND_001_04,driver_token_0232,CURRENT,CLEAR
TNT_002,DRV_0233,VND_002_01,driver_token_0233,CURRENT,CLEAR
TNT_002,DRV_0234,VND_002_02,driver_token_0234,CURRENT,CLEAR
TNT_002,DRV_0235,VND_002_03,driver_token_0235,CURRENT,CLEAR
TNT_002,DRV_0236,VND_002_04,driver_token_0236,CURRENT,CLEAR
TNT_003,DRV_0237,VND_003_01,driver_token_0237,CURRENT,REVIEW_REQUIRED
TNT_003,DRV_0238,VND_003_02,driver_token_0238,CURRENT,CLEAR
TNT_003,DRV_0239,VND_003_03,driver_token_0239,CURRENT,CLEAR
TNT_003,DRV_0240,VND_003_04,driver_token_0240,CURRENT,CLEAR
TNT_001,DRV_0241,VND_001_01,driver_token_0241,CURRENT,CLEAR
TNT_001,DRV_0242,VND_001_02,driver_token_0242,CURRENT,CLEAR
TNT_001,DRV_0243,VND_001_03,driver_token_0243,CURRENT,CLEAR
TNT_001,DRV_0244,VND_001_04,driver_token_0244,CURRENT,CLEAR
TNT_002,DRV_0245,VND_002_01,driver_token_0245,CURRENT,CLEAR
TNT_002,DRV_0246,VND_002_02,driver_token_0246,CURRENT,CLEAR
TNT_002,DRV_0247,VND_002_03,driver_token_0247,CURRENT,CLEAR
TNT_002,DRV_0248,VND_002_04,driver_token_0248,CURRENT,CLEAR
TNT_003,DRV_0249,VND_003_01,driver_token_0249,CURRENT,CLEAR
TNT_003,DRV_0250,VND_003_02,driver_token_0250,CURRENT,CLEAR
TNT_003,DRV_0251,VND_003_03,driver_token_0251,CURRENT,CLEAR
TNT_003,DRV_0252,VND_003_04,driver_token_0252,CURRENT,CLEAR
TNT_001,DRV_0253,VND_001_01,driver_token_0253,CURRENT,CLEAR
TNT_001,DRV_0254,VND_001_02,driver_token_0254,CURRENT,CLEAR
TNT_001,DRV_0255,VND_001_03,driver_token_0255,CURRENT,CLEAR
TNT_001,DRV_0256,VND_001_04,driver_token_0256,CURRENT,CLEAR
TNT_002,DRV_0257,VND_002_01,driver_token_0257,CURRENT,CLEAR
TNT_002,DRV_0258,VND_002_02,driver_token_0258,CURRENT,CLEAR
TNT_002,DRV_0259,VND_002_03,driver_token_0259,CURRENT,CLEAR
TNT_002,DRV_0260,VND_002_04,driver_token_0260,CURRENT,CLEAR
TNT_003,DRV_0261,VND_003_01,driver_token_0261,CURRENT,CLEAR
TNT_003,DRV_0262,VND_003_02,driver_token_0262,CURRENT,CLEAR
TNT_003,DRV_0263,VND_003_03,driver_token_0263,CURRENT,CLEAR
TNT_003,DRV_0264,VND_003_04,driver_token_0264,CURRENT,CLEAR
TNT_001,DRV_0265,VND_001_01,driver_token_0265,CURRENT,CLEAR
TNT_001,DRV_0266,VND_001_02,driver_token_0266,CURRENT,CLEAR
TNT_001,DRV_0267,VND_001_03,driver_token_0267,CURRENT,CLEAR
TNT_001,DRV_0268,VND_001_04,driver_token_0268,CURRENT,CLEAR
TNT_002,DRV_0269,VND_002_01,driver_token_0269,CURRENT,CLEAR
TNT_002,DRV_0270,VND_002_02,driver_token_0270,CURRENT,CLEAR
TNT_002,DRV_0271,VND_002_03,driver_token_0271,CURRENT,CLEAR
TNT_002,DRV_0272,VND_002_04,driver_token_0272,CURRENT,CLEAR
TNT_003,DRV_0273,VND_003_01,driver_token_0273,CURRENT,CLEAR
TNT_003,DRV_0274,VND_003_02,driver_token_0274,CURRENT,CLEAR
TNT_003,DRV_0275,VND_003_03,driver_token_0275,CURRENT,CLEAR
TNT_003,DRV_0276,VND_003_04,driver_token_0276,CURRENT,CLEAR
TNT_001,DRV_0277,VND_001_01,driver_token_0277,CURRENT,CLEAR
TNT_001,DRV_0278,VND_001_02,driver_token_0278,CURRENT,CLEAR
TNT_001,DRV_0279,VND_001_03,driver_token_0279,CURRENT,CLEAR
TNT_001,DRV_0280,VND_001_04,driver_token_0280,CURRENT,CLEAR
TNT_002,DRV_0281,VND_002_01,driver_token_0281,CURRENT,CLEAR
TNT_002,DRV_0282,VND_002_02,driver_token_0282,CURRENT,CLEAR
TNT_002,DRV_0283,VND_002_03,driver_token_0283,CURRENT,CLEAR
TNT_002,DRV_0284,VND_002_04,driver_token_0284,CURRENT,CLEAR
TNT_003,DRV_0285,VND_003_01,driver_token_0285,CURRENT,CLEAR
TNT_003,DRV_0286,VND_003_02,driver_token_0286,CURRENT,CLEAR
TNT_003,DRV_0287,VND_003_03,driver_token_0287,CURRENT,CLEAR
TNT_003,DRV_0288,VND_003_04,driver_token_0288,CURRENT,CLEAR
TNT_001,DRV_0289,VND_001_01,driver_token_0289,CURRENT,CLEAR
TNT_001,DRV_0290,VND_001_02,driver_token_0290,CURRENT,CLEAR
TNT_001,DRV_0291,VND_001_03,driver_token_0291,CURRENT,CLEAR
TNT_001,DRV_0292,VND_001_04,driver_token_0292,CURRENT,CLEAR
TNT_002,DRV_0293,VND_002_01,driver_token_0293,CURRENT,CLEAR
TNT_002,DRV_0294,VND_002_02,driver_token_0294,CURRENT,CLEAR
TNT_002,DRV_0295,VND_002_03,driver_token_0295,CURRENT,CLEAR
TNT_002,DRV_0296,VND_002_04,driver_token_0296,CURRENT,CLEAR
TNT_003,DRV_0297,VND_003_01,driver_token_0297,CURRENT,CLEAR
TNT_003,DRV_0298,VND_003_02,driver_token_0298,CURRENT,CLEAR
TNT_003,DRV_0299,VND_003_03,driver_token_0299,CURRENT,CLEAR
TNT_003,DRV_0300,VND_003_04,driver_token_0300,CURRENT,CLEAR
TNT_001,DRV_0301,VND_001_01,driver_token_0301,CURRENT,CLEAR
TNT_001,DRV_0302,VND_001_02,driver_token_0302,CURRENT,CLEAR
TNT_001,DRV_0303,VND_001_03,driver_token_0303,CURRENT,CLEAR
TNT_001,DRV_0304,VND_001_04,driver_token_0304,CURRENT,CLEAR
TNT_002,DRV_0305,VND_002_01,driver_token_0305,CURRENT,CLEAR
TNT_002,DRV_0306,VND_002_02,driver_token_0306,CURRENT,CLEAR
TNT_002,DRV_0307,VND_002_03,driver_token_0307,CURRENT,CLEAR
TNT_002,DRV_0308,VND_002_04,driver_token_0308,CURRENT,CLEAR
TNT_003,DRV_0309,VND_003_01,driver_token_0309,CURRENT,CLEAR
TNT_003,DRV_0310,VND_003_02,driver_token_0310,CURRENT,CLEAR
TNT_003,DRV_0311,VND_003_03,driver_token_0311,CURRENT,CLEAR
TNT_003,DRV_0312,VND_003_04,driver_token_0312,CURRENT,CLEAR
TNT_001,DRV_0313,VND_001_01,driver_token_0313,CURRENT,CLEAR
TNT_001,DRV_0314,VND_001_02,driver_token_0314,CURRENT,CLEAR
TNT_001,DRV_0315,VND_001_03,driver_token_0315,CURRENT,CLEAR
TNT_001,DRV_0316,VND_001_04,driver_token_0316,CURRENT,CLEAR
TNT_002,DRV_0317,VND_002_01,driver_token_0317,CURRENT,CLEAR
TNT_002,DRV_0318,VND_002_02,driver_token_0318,CURRENT,CLEAR
TNT_002,DRV_0319,VND_002_03,driver_token_0319,CURRENT,CLEAR
TNT_002,DRV_0320,VND_002_04,driver_token_0320,CURRENT,CLEAR
TNT_003,DRV_0321,VND_003_01,driver_token_0321,CURRENT,CLEAR
TNT_003,DRV_0322,VND_003_02,driver_token_0322,CURRENT,CLEAR
TNT_003,DRV_0323,VND_003_03,driver_token_0323,CURRENT,CLEAR
TNT_003,DRV_0324,VND_003_04,driver_token_0324,CURRENT,CLEAR
TNT_001,DRV_0325,VND_001_01,driver_token_0325,CURRENT,CLEAR
TNT_001,DRV_0326,VND_001_02,driver_token_0326,CURRENT,CLEAR
TNT_001,DRV_0327,VND_001_03,driver_token_0327,CURRENT,CLEAR
TNT_001,DRV_0328,VND_001_04,driver_token_0328,CURRENT,CLEAR
TNT_002,DRV_0329,VND_002_01,driver_token_0329,CURRENT,CLEAR
TNT_002,DRV_0330,VND_002_02,driver_token_0330,CURRENT,CLEAR
TNT_002,DRV_0331,VND_002_03,driver_token_0331,CURRENT,CLEAR
TNT_002,DRV_0332,VND_002_04,driver_token_0332,CURRENT,CLEAR
TNT_003,DRV_0333,VND_003_01,driver_token_0333,CURRENT,CLEAR
TNT_003,DRV_0334,VND_003_02,driver_token_0334,CURRENT,CLEAR
TNT_003,DRV_0335,VND_003_03,driver_token_0335,CURRENT,CLEAR
TNT_003,DRV_0336,VND_003_04,driver_token_0336,CURRENT,CLEAR
TNT_001,DRV_0337,VND_001_01,driver_token_0337,CURRENT,CLEAR
TNT_001,DRV_0338,VND_001_02,driver_token_0338,CURRENT,CLEAR
TNT_001,DRV_0339,VND_001_03,driver_token_0339,CURRENT,CLEAR
TNT_001,DRV_0340,VND_001_04,driver_token_0340,CURRENT,CLEAR
TNT_002,DRV_0341,VND_002_01,driver_token_0341,CURRENT,CLEAR
TNT_002,DRV_0342,VND_002_02,driver_token_0342,CURRENT,CLEAR
TNT_002,DRV_0343,VND_002_03,driver_token_0343,CURRENT,CLEAR
TNT_002,DRV_0344,VND_002_04,driver_token_0344,CURRENT,CLEAR
TNT_003,DRV_0345,VND_003_01,driver_token_0345,CURRENT,CLEAR
TNT_003,DRV_0346,VND_003_02,driver_token_0346,CURRENT,CLEAR
TNT_003,DRV_0347,VND_003_03,driver_token_0347,CURRENT,CLEAR
