tenant_id,route_id,route_name,site_id,service_mode,planned_distance_km,active_flag,synthetic_hotspot_flag
TNT_002,RTE_002_029,Hyderabad CAB Route 29,SITE_HYD_01,CAB,11.8,true,false
TNT_003,RTE_003_030,Gurugram CAB Route 30,SITE_NCR_01,CAB,15.9,true,false
TNT_001,RTE_001_031,Bengaluru NODAL Route 31,SITE_BLR_02,NODAL,9.5,true,false
TNT_002,RTE_002_032,Hyderabad NODAL Route 32,SITE_HYD_01,NODAL,21.5,true,false
TNT_003,RTE_003_033,Noida NODAL Route 33,SITE_NCR_02,NODAL,28.1,true,false
TNT_001,RTE_001_034,Bengaluru SHUTTLE Route 34,SITE_BLR_02,SHUTTLE,38.2,true,false
TNT_002,RTE_002_035,Hyderabad SHUTTLE Route 35,SITE_HYD_01,SHUTTLE,27.2,true,false
TNT_003,RTE_003_036,Gurugram SHUTTLE Route 36,SITE_NCR_01,SHUTTLE,40.3,true,false
TNT_001,RTE_001_037,Bengaluru CAB Route 37,SITE_BLR_02,CAB,22.4,true,false
TNT_002,RTE_002_038,Hyderabad CAB Route 38,SITE_HYD_01,CAB,19.4,true,false
TNT_003,RTE_003_039,Gurugram CAB Route 39,SITE_NCR_01,CAB,17.4,true,false
TNT_001,RTE_001_040,Bengaluru NODAL Route 40,SITE_BLR_02,NODAL,10,true,false
TNT_002,RTE_002_041,Hyderabad NODAL Route 41,SITE_HYD_01,NODAL,13.5,true,false
TNT_003,RTE_003_042,Gurugram NODAL Route 42,SITE_NCR_01,NODAL,13.5,true,false
TNT_001,RTE_001_043,Bengaluru SHUTTLE Route 43,SITE_BLR_02,SHUTTLE,26.5,true,false
TNT_002,RTE_002_044,Hyderabad SHUTTLE Route 44,SITE_HYD_01,SHUTTLE,40,true,false
TNT_003,RTE_003_045,Gurugram SHUTTLE Route 45,SITE_NCR_01,SHUTTLE,29.4,true,false
TNT_001,RTE_001_046,Bengaluru CAB Route 46,SITE_BLR_01,CAB,26.1,true,false
TNT_002,RTE_002_047,Hyderabad CAB Route 47,SITE_HYD_01,CAB,15,true,false
TNT_003,RTE_003_048,Gurugram CAB Route 48,SITE_NCR_01,CAB,14.5,true,false
TNT_001,RTE_001_049,Bengaluru NODAL Route 49,SITE_BLR_01,NODAL,14.4,true,false
TNT_002,RTE_002_050,Hyderabad NODAL Route 50,SITE_HYD_02,NODAL,24.1,true,false
TNT_003,RTE_003_051,Noida NODAL Route 51,SITE_NCR_02,NODAL,19.5,true,false
TNT_001,RTE_001_052,Bengaluru SHUTTLE Route 52,SITE_BLR_01,SHUTTLE,28.9,true,false
TNT_002,RTE_002_053,Hyderabad SHUTTLE Route 53,SITE_HYD_02,SHUTTLE,26.7,true,false
TNT_003,RTE_003_054,Gurugram SHUTTLE Route 54,SITE_NCR_01,SHUTTLE,18.9,true,false
TNT_001,RTE_001_055,Bengaluru CAB Route 55,SITE_BLR_01,CAB,16,true,false
TNT_002,RTE_002_056,Hyderabad CAB Route 56,SITE_HYD_01,CAB,16.5,true,false
TNT_003,RTE_003_057,Noida CAB Route 57,SITE_NCR_02,CAB,26.5,true,false
TNT_001,RTE_001_058,Bengaluru NODAL Route 58,SITE_BLR_01,NODAL,25.6,true,false
TNT_002,RTE_002_059,Hyderabad NODAL Route 59,SITE_HYD_01,NODAL,15.2,true,false
TNT_003,RTE_003_060,Gurugram NODAL Route 60,SITE_NCR_01,NODAL,22.6,true,false
TNT_001,RTE_001_061,Bengaluru SHUTTLE Route 61,SITE_BLR_01,SHUTTLE,39.5,true,false
TNT_002,RTE_002_062,Hyderabad SHUTTLE Route 62,SITE_HYD_01,SHUTTLE,21.3,true,false
TNT_003,RTE_003_063,Gurugram SHUTTLE Route 63,SITE_NCR_01,SHUTTLE,39.7,true,false
TNT_001,RTE_001_064,Bengaluru CAB Route 64,SITE_BLR_01,CAB,29.2,true,false
TNT_002,RTE_002_065,Hyderabad CAB Route 65,SITE_HYD_02,CAB,22.2,true,false
TNT_003,RTE_003_066,Gurugram CAB Route 66,SITE_NCR_01,CAB,18.7,true,false
TNT_001,RTE_001_067,Bengaluru NODAL Route 67,SITE_BLR_02,NODAL,27.3,true,false
TNT_002,RTE_002_068,Hyderabad NODAL Route 68,SITE_HYD_02,NODAL,15.7,true,false
TNT_003,RTE_003_069,Noida NODAL Route 69,SITE_NCR_02,NODAL,29,true,false
TNT_001,RTE_001_070,Bengaluru SHUTTLE Route 70,SITE_BLR_01,SHUTTLE,23.4,true,false
TNT_002,RTE_002_071,Hyderabad SHUTTLE Route 71,SITE_HYD_02,SHUTTLE,27.5,true,false
TNT_003,RTE_003_072,Gurugram SHUTTLE Route 72,SITE_NCR_01,SHUTTLE,31.2,true,false
TNT_001,RTE_001_073,Bengaluru CAB Route 73,SITE_BLR_01,CAB,18.4,true,false
TNT_002,RTE_002_074,Hyderabad CAB Route 74,SITE_HYD_02,CAB,11,true,false
TNT_003,RTE_003_075,Gurugram CAB Route 75,SITE_NCR_01,CAB,24.5,true,false
TNT_001,RTE_001_076,Bengaluru NODAL Route 76,SITE_BLR_01,NODAL,27.9,true,false
TNT_002,RTE_002_077,Hyderabad NODAL Route 77,SITE_HYD_02,NODAL,16,true,false
TNT_003,RTE_003_078,Gurugram NODAL Route 78,SITE_NCR_01,NODAL,19.3,true,false
TNT_001,RTE_001_079,Bengaluru SHUTTLE Route 79,SITE_BLR_02,SHUTTLE,33.8,true,false
TNT_002,RTE_002_080,Hyderabad SHUTTLE Route 80,SITE_HYD_02,SHUTTLE,20.1,true,false
