tenant_id,employee_token,site_id,shift_id,business_unit,active_flag
TNT_001,EMP_00034,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_003,EMP_00035,SITE_NCR_02,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00036,SITE_HYD_02,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00037,SITE_BLR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00038,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00039,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00040,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00041,SITE_BLR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00042,SITE_HYD_01,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00043,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_003,EMP_00044,SITE_NCR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00045,SITE_HYD_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00046,SITE_HYD_02,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00047,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_003,EMP_00048,SITE_NCR_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00049,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00050,SITE_BLR_01,SHIFT_MORNING,SUPPORT,false
TNT_001,EMP_00051,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00052,SITE_HYD_01,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00053,SITE_HYD_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00054,SITE_BLR_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00055,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00056,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00057,SITE_HYD_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00058,SITE_BLR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_003,EMP_00059,SITE_NCR_01,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00060,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00061,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00062,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00063,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00064,SITE_HYD_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_003,EMP_00065,SITE_NCR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_003,EMP_00066,SITE_NCR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00067,SITE_BLR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00068,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00069,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00070,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00071,SITE_HYD_02,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00072,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00073,SITE_NCR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00074,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00075,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00076,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00077,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00078,SITE_HYD_02,SHIFT_MORNING,SUPPORT,true
TNT_003,EMP_00079,SITE_NCR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00080,SITE_HYD_01,SHIFT_DAY,TECHNOLOGY,true
TNT_003,EMP_00081,SITE_NCR_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00082,SITE_NCR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00083,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00084,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00085,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00086,SITE_NCR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00087,SITE_HYD_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00088,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00089,SITE_BLR_02,SHIFT_NIGHT,SUPPORT,true
TNT_003,EMP_00090,SITE_NCR_01,SHIFT_MORNING,SUPPORT,false
TNT_001,EMP_00091,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,false
TNT_001,EMP_00092,SITE_BLR_01,SHIFT_MORNING,SUPPORT,true
TNT_003,EMP_00093,SITE_NCR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00094,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00095,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00096,SITE_HYD_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00097,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00098,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00099,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,false
TNT_002,EMP_00100,SITE_HYD_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00101,SITE_BLR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_003,EMP_00102,SITE_NCR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00103,SITE_NCR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00104,SITE_BLR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00105,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00106,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_002,EMP_00107,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00108,SITE_BLR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_002,EMP_00109,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00110,SITE_HYD_02,SHIFT_EVENING,SUPPORT,true
TNT_002,EMP_00111,SITE_HYD_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00112,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_003,EMP_00113,SITE_NCR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00114,SITE_HYD_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00115,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00116,SITE_BLR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00117,SITE_BLR_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00118,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00119,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00120,SITE_NCR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_002,EMP_00121,SITE_HYD_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00122,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00123,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00124,SITE_HYD_02,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00125,SITE_HYD_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00126,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00127,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00128,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_003,EMP_00129,SITE_NCR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00130,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00131,SITE_HYD_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00132,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00133,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00134,SITE_HYD_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00135,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_003,EMP_00136,SITE_NCR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00137,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00138,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00139,SITE_HYD_02,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00140,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00141,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00142,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00143,SITE_HYD_02,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00144,SITE_NCR_01,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00145,SITE_HYD_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00146,SITE_HYD_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00147,SITE_HYD_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00148,SITE_BLR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00149,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_003,EMP_00150,SITE_NCR_01,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00151,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00152,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00153,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00154,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00155,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_003,EMP_00156,SITE_NCR_01,SHIFT_MORNING,OPERATIONS,false
TNT_001,EMP_00157,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00158,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00159,SITE_HYD_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00160,SITE_HYD_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00161,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00162,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00163,SITE_HYD_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00164,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00165,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00166,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00167,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00168,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00169,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00170,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00171,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00172,SITE_BLR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00173,SITE_HYD_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00174,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00175,SITE_NCR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00176,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00177,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00178,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00179,SITE_HYD_01,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00180,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00181,SITE_HYD_02,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00182,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00183,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00184,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00185,SITE_BLR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00186,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00187,SITE_NCR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00188,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00189,SITE_HYD_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00190,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00191,SITE_NCR_01,SHIFT_EVENING,SUPPORT,true
TNT_002,EMP_00192,SITE_HYD_02,SHIFT_DAY,TECHNOLOGY,false
TNT_001,EMP_00193,SITE_BLR_01,SHIFT_EVENING,SUPPORT,true
TNT_002,EMP_00194,SITE_HYD_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00195,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00196,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_003,EMP_00197,SITE_NCR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00198,SITE_BLR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_003,EMP_00199,SITE_NCR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00200,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00201,SITE_NCR_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00202,SITE_NCR_02,SHIFT_MORNING,SUPPORT,true
TNT_002,EMP_00203,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00204,SITE_NCR_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00205,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00206,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_002,EMP_00207,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00208,SITE_NCR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00209,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00210,SITE_HYD_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00211,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00212,SITE_NCR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00213,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00214,SITE_NCR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00215,SITE_HYD_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00216,SITE_HYD_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_002,EMP_00217,SITE_HYD_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00218,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00219,SITE_BLR_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00220,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00221,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_003,EMP_00222,SITE_NCR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00223,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00224,SITE_BLR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00225,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00226,SITE_NCR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_003,EMP_00227,SITE_NCR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00228,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00229,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00230,SITE_BLR_02,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00231,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00232,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00233,SITE_HYD_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_002,EMP_00234,SITE_HYD_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00235,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00236,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00237,SITE_BLR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00238,SITE_BLR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_002,EMP_00239,SITE_HYD_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00240,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00241,SITE_BLR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_002,EMP_00242,SITE_HYD_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_003,EMP_00243,SITE_NCR_01,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00244,SITE_BLR_02,SHIFT_EVENING,TECHNOLOGY,false
TNT_001,EMP_00245,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00246,SITE_HYD_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_003,EMP_00247,SITE_NCR_01,SHIFT_EVENING,SUPPORT,true
TNT_002,EMP_00248,SITE_HYD_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_003,EMP_00249,SITE_NCR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_002,EMP_00250,SITE_HYD_02,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00251,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00252,SITE_BLR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00253,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_003,EMP_00254,SITE_NCR_01,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00255,SITE_HYD_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_003,EMP_00256,SITE_NCR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00257,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00258,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00259,SITE_BLR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_002,EMP_00260,SITE_HYD_02,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00261,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00262,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00263,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_002,EMP_00264,SITE_HYD_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_002,EMP_00265,SITE_HYD_02,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00266,SITE_BLR_02,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00267,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00268,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00269,SITE_HYD_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00270,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00271,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00272,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_003,EMP_00273,SITE_NCR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00274,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00275,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00276,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00277,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00278,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00279,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00280,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00281,SITE_NCR_01,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00282,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00283,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00284,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00285,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00286,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00287,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00288,SITE_HYD_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00289,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00290,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00291,SITE_BLR_01,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00292,SITE_BLR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00293,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00294,SITE_BLR_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_002,EMP_00295,SITE_HYD_01,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00296,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00297,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00298,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00299,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00300,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00301,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00302,SITE_BLR_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00303,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00304,SITE_BLR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00305,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00306,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00307,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00308,SITE_HYD_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00309,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00310,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00311,SITE_NCR_01,SHIFT_DAY,SUPPORT,true
TNT_001,EMP_00312,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00313,SITE_HYD_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00314,SITE_BLR_01,SHIFT_EVENING,TECHNOLOGY,true
TNT_002,EMP_00315,SITE_HYD_01,SHIFT_MORNING,SUPPORT,true
