tenant_id,incident_id,trip_id,reported_at_utc,severity,incident_type,compliance_status,resolved_flag
TNT_001,INC_TRP_0007484,TRP_0007484,2026-06-14T09:00:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0007584,TRP_0007584,2026-06-24T05:59:00.000Z,MEDIUM,SPEEDING,COMPLIANT,false
TNT_001,INC_TRP_0007886,TRP_0007886,2026-07-26T05:37:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_002,INC_TRP_0008000,TRP_0008000,2026-08-19T22:23:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,false
TNT_001,INC_TRP_0008125,TRP_0008125,2026-06-25T13:50:00.000Z,HIGH,HARSH_BRAKING,COMPLIANT,true
TNT_003,INC_TRP_0008973,TRP_0008973,2026-08-02T13:57:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0009006,TRP_0009006,2026-06-06T13:12:00.000Z,LOW,COLLISION,COMPLIANT,true
TNT_001,INC_TRP_0009771,TRP_0009771,2026-07-21T08:34:00.000Z,LOW,COLLISION,COMPLIANT,true
TNT_002,INC_TRP_0009987,TRP_0009987,2026-08-26T13:19:00.000Z,HIGH,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0010501,TRP_0010501,2026-07-31T05:36:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0010767,TRP_0010767,2026-07-27T13:05:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0012507,TRP_0012507,2026-08-26T21:01:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,true
TNT_002,INC_TRP_0013188,TRP_0013188,2026-07-18T05:26:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0014252,TRP_0014252,2026-07-02T21:48:00.000Z,HIGH,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0014288,TRP_0014288,2026-08-07T09:16:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0014595,TRP_0014595,2026-06-15T08:36:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0014611,TRP_0014611,2026-07-01T09:28:00.000Z,MEDIUM,SPEEDING,COMPLIANT,false
TNT_001,INC_TRP_0015087,TRP_0015087,2026-07-27T05:22:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_003,INC_TRP_0016410,TRP_0016410,2026-06-30T09:11:00.000Z,MEDIUM,COLLISION,COMPLIANT,true
TNT_003,INC_TRP_0016718,TRP_0016718,2026-08-07T14:16:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_003,INC_TRP_0017662,TRP_0017662,2026-06-22T08:42:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_003,INC_TRP_0017738,TRP_0017738,2026-06-08T13:30:00.000Z,LOW,SPEEDING,COMPLIANT,false
TNT_001,INC_TRP_0017835,TRP_0017835,2026-06-15T08:47:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0018692,TRP_0018692,2026-08-01T08:20:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_003,INC_TRP_0018835,TRP_0018835,2026-06-25T21:15:00.000Z,LOW,COLLISION,COMPLIANT,true
TNT_002,INC_TRP_0018933,TRP_0018933,2026-07-03T08:35:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0018946,TRP_0018946,2026-07-16T05:31:00.000Z,MEDIUM,ROUTE_DEVIATION,REVIEW_REQUIRED,true
TNT_001,INC_TRP_0018999,TRP_0018999,2026-06-09T21:47:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_002,INC_TRP_0019624,TRP_0019624,2026-06-04T08:58:00.000Z,HIGH,ROUTE_DEVIATION,REVIEW_REQUIRED,false
TNT_001,INC_TRP_0021236,TRP_0021236,2026-08-25T22:37:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0021301,TRP_0021301,2026-07-31T05:51:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0022737,TRP_0022737,2026-07-27T22:19:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0022978,TRP_0022978,2026-06-28T22:20:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_003,INC_TRP_0023327,TRP_0023327,2026-06-17T09:06:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0023534,TRP_0023534,2026-07-14T21:58:00.000Z,MEDIUM,COLLISION,COMPLIANT,true
TNT_001,INC_TRP_0024417,TRP_0024417,2026-06-27T09:17:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0024458,TRP_0024458,2026-08-07T13:31:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,true
TNT_002,INC_TRP_0024992,TRP_0024992,2026-08-01T08:32:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0025138,TRP_0025138,2026-06-28T08:56:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,true
TNT_003,INC_TRP_0025200,TRP_0025200,2026-08-29T13:58:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,false
TNT_001,INC_TRP_0025621,TRP_0025621,2026-07-31T05:59:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0026042,TRP_0026042,2026-07-02T08:28:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_003,INC_TRP_0026514,TRP_0026514,2026-07-24T13:46:00.000Z,HIGH,SPEEDING,COMPLIANT,true
TNT_002,INC_TRP_0027524,TRP_0027524,2026-08-13T06:27:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0028928,TRP_0028928,2026-07-08T14:00:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0028996,TRP_0028996,2026-06-16T05:39:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0030039,TRP_0030039,2026-08-08T21:57:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0030767,TRP_0030767,2026-08-16T21:37:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0030959,TRP_0030959,2026-08-28T05:16:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_003,INC_TRP_0031081,TRP_0031081,2026-07-01T05:27:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0031167,TRP_0031167,2026-06-27T13:19:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_002,INC_TRP_0031736,TRP_0031736,2026-07-26T22:08:00.000Z,LOW,HARSH_BRAKING,REVIEW_REQUIRED,false
TNT_002,INC_TRP_0032488,TRP_0032488,2026-08-27T06:16:00.000Z,HIGH,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0033147,TRP_0033147,2026-06-27T08:52:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0033728,TRP_0033728,2026-08-07T08:19:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_001,INC_TRP_0033738,TRP_0033738,2026-08-17T13:57:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,false
TNT_001,INC_TRP_0033869,TRP_0033869,2026-06-29T22:06:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0034392,TRP_0034392,2026-06-12T22:05:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0035738,TRP_0035738,2026-06-08T05:16:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0036039,TRP_0036039,2026-07-09T14:08:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0036700,TRP_0036700,2026-08-09T21:44:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_002,INC_TRP_0037845,TRP_0037845,2026-07-15T22:36:00.000Z,MEDIUM,SPEEDING,COMPLIANT,false
TNT_001,INC_TRP_0038225,TRP_0038225,2026-08-04T09:00:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0038396,TRP_0038396,2026-07-26T08:36:00.000Z,LOW,SPEEDING,COMPLIANT,false
TNT_002,INC_TRP_0038915,TRP_0038915,2026-07-05T05:45:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0039035,TRP_0039035,2026-08-04T06:13:00.000Z,HIGH,ROUTE_DEVIATION,COMPLIANT,false
TNT_001,INC_TRP_0039310,TRP_0039310,2026-08-09T09:04:00.000Z,MEDIUM,HARSH_BRAKING,REVIEW_REQUIRED,true
TNT_003,INC_TRP_0039364,TRP_0039364,2026-07-04T08:49:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0040346,TRP_0040346,2026-06-26T08:43:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0040652,TRP_0040652,2026-08-01T09:25:00.000Z,HIGH,ROUTE_DEVIATION,COMPLIANT,true
TNT_003,INC_TRP_0040693,TRP_0040693,2026-06-13T13:07:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0041056,TRP_0041056,2026-06-16T13:43:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0041085,TRP_0041085,2026-07-15T05:25:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0042115,TRP_0042115,2026-08-24T09:43:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0043736,TRP_0043736,2026-08-25T21:31:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0043809,TRP_0043809,2026-08-08T05:47:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0044462,TRP_0044462,2026-06-02T21:53:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_002,INC_TRP_0044741,TRP_0044741,2026-06-11T09:00:00.000Z,MEDIUM,ROUTE_DEVIATION,COMPLIANT,true
TNT_003,INC_TRP_0045116,TRP_0045116,2026-06-26T08:25:00.000Z,LOW,SPEEDING,COMPLIANT,false
TNT_002,INC_TRP_0045162,TRP_0045162,2026-08-11T13:51:00.000Z,LOW,HARSH_BRAKING,REVIEW_REQUIRED,false
TNT_002,INC_TRP_0045290,TRP_0045290,2026-06-20T08:14:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0045431,TRP_0045431,2026-08-10T08:31:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0045563,TRP_0045563,2026-06-23T08:11:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0046118,TRP_0046118,2026-07-08T21:39:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0046383,TRP_0046383,2026-07-03T08:34:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0046479,TRP_0046479,2026-07-09T09:07:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0046799,TRP_0046799,2026-08-28T22:20:00.000Z,HIGH,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0048292,TRP_0048292,2026-07-22T09:00:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0048512,TRP_0048512,2026-06-02T05:18:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0048533,TRP_0048533,2026-06-23T08:56:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_002,INC_TRP_0049621,TRP_0049621,2026-07-01T09:04:00.000Z,MEDIUM,HARSH_BRAKING,COMPLIANT,false
